CHROMATOGRAM,
D:\2023\Period 8-23\119188 - Kimberly\119188-3.raw,
Data points: 4800,
Time(min),uAU
1.372136613,0.010034803
1.373380663,0.009429619
1.374624712,0.008894804
1.375868761,0.008627397
1.377112811,0.008725916
1.37835686,0.008838507
1.379600909,0.008345916
1.380844959,0.007402954
1.382089008,0.006403696
1.383333056,0.006178511
1.384577107,0.006291103
1.385821156,0.006262956
1.387065204,0.006459991
1.388309255,0.007093324
1.389553303,0.008064434
1.390797352,0.008683693
1.392041403,0.009218507
1.393285451,0.009908136
1.3945295,0.010654061
1.39577355,0.01103406
1.397017599,0.011005913
1.398261648,0.010907394
1.399505698,0.010597764
1.400749747,0.010527394
1.401993796,0.010597764
1.403237846,0.01096369
1.404481895,0.010696283
1.405725944,0.010048876
1.406969994,0.009753321
1.408214043,0.010006654
1.409458092,0.010851097
1.410702142,0.011808133
1.411946191,0.012680724
1.41319024,0.013314057
1.41443429,0.013750353
1.415678339,0.014200723
1.416922388,0.014665167
1.418166438,0.014932574
1.419410487,0.015242203
1.420654535,0.015397019
1.421898586,0.015425166
1.423142635,0.01574887
1.424386683,0.016297757
1.425630734,0.016832571
1.426874782,0.01700146
1.428118831,0.01745183
1.429362882,0.017944421
1.43060693,0.018451089
1.431850979,0.018746643
1.433095029,0.01894368
1.434339078,0.019239236
